City,Link,Content
Kraków,https://www.lonelyplanet.com/poland/malopolska/krakow/health,Tap water is generally safe to drink%2C though bottled water is cheap and readily available.
Taipei,https://www.lonelyplanet.com/taiwan/taipei/health,Taipei's tap water is supposed to be drinkable%2C but nobody does. Boiling it first should do the trick or buy bottled water. A more environmental and practical solution is to carry your own flask. There are drinking water dispensers in major tourist sites%2C temples%2C some MRT stations and hospitals.
Kyoto,https://www.lonelyplanet.com/japan/kansai/kyoto/health,Tap water is safe to drink.          
Brussels,https://www.lonelyplanet.com/belgium/brussels/health,Tap water is safe to drink.          
Reykjavík,https://www.lonelyplanet.com/iceland/reykjavik/health,The tap water in Reykjavík and throughout Iceland is excellent to drink.
Porto,https://www.lonelyplanet.com/portugal/the-north/porto/health,Tap water is generally safe to drink in Porto%2C though it tastes quite chlorinated so bottled stuff might be preferable.
Abu Dhabi,https://www.lonelyplanet.com/united-arab-emirates/abu-dhabi/health,Abu Dhabi's tap water is perfectly safe to drink%2C though most residents won't drink it. It is desalinated water%2C so it has a slight taste and doesn't contain the normal mineral content of other water.
Jerusalem,https://www.lonelyplanet.com/israel-and-the-palestinian-territories/jerusalem/health,Tap water is safe to drink but sometimes has an unpleasant taste (it can be slightly saline) so many locals use filters or spring water dispensers at home. Bottled water is available everywhere.
Naples,https://www.lonelyplanet.com/italy/campania/naples/health,Tap water in Naples is safe to drink%2C although many Neapolitans prefer to buy bottled water.          
Hobart,https://www.lonelyplanet.com/australia/tasmania/hobart/health,Hobart's tap water is the most potable and palatable in Australia – as good as anything you can buy in a bottle.          
Helsinki,https://www.lonelyplanet.com/finland/helsinki/health,Helsinki's tap water is among the highest quality in the world and a pleasure to drink.
Munich,https://www.lonelyplanet.com/germany/munich/health,Tap water is entirely safe to drink in Munich%2C though it doesn't taste all that great.
Stockholm,https://www.lonelyplanet.com/sweden/stockholm/health,Stockholm enjoys some of the cleanest tap water in the world.          
Marrakesh,https://www.lonelyplanet.com/morocco/marrakesh/health,Tap water in Marrakesh is safe though it tastes less than delicious. Some travellers still suffer problems with the water because of different treatment systems. If you have a sensitive stomach%2C it's best to bring a water bottle with a filtration system along on your visit. Bottled water is widely available but consider your environmental impact.          
Jakarta,https://www.lonelyplanet.com/indonesia/jakarta/health,Tap water is very unsafe. Bottled water is easily obtained. Ice in restaurants%2C lounges and hotels is usually made with filtered water.
Tel Aviv,https://www.lonelyplanet.com/israel-and-the-palestinian-territories/mediterranean-coast/tel-aviv/health,Tel Aviv tap water is safe to drink%2C though some may note a distinct aftertaste.
Oslo,https://www.lonelyplanet.com/norway/oslo/health,Tap water is always safe to drink in Norway.
Glasgow,https://www.lonelyplanet.com/scotland/glasgow/health,Glasgow's tap water is totally safe to drink.          
Hamburg,https://www.lonelyplanet.com/germany/hamburg/health,Tap water is drinkable in Hamburg.          
Vilnius,https://www.lonelyplanet.com/lithuania/vilnius/health,It's perfectly safe to drink the tap water in Vilnius.
Atlanta,https://www.lonelyplanet.com/usa/the-south/atlanta/health,The city of Atlanta's drinking water is safe and its water-treatment plants comply with standards mandated by the Safe Drinking Water Act.
Bordeaux,https://www.lonelyplanet.com/france/southwestern-france/bordeaux/health,Tap water is perfectly safe to drink.          
Rīga,https://www.lonelyplanet.com/latvia/riga/health,While teeth brushing is fine%2C it is recommended to avoid water straight from the tap in Rīga; boil or filter before drinking.          
Rotterdam,https://www.lonelyplanet.com/the-netherlands/rotterdam/health,Rotterdam's tap water is safe to drink.
Nice,https://www.lonelyplanet.com/france/nice/health,Tap water is safe to drink in Nice%2C as it is throughout France.
Oxford,https://www.lonelyplanet.com/england/oxfordshire/oxford/health,The tap water in Oxford is safe to drink.
San Sebastián,https://www.lonelyplanet.com/spain/aragon-basque-country-and-navarra/san-sebastian/health,San Sebastián has excellent water%2C and it is safe to drink.          
Charleston,https://www.lonelyplanet.com/usa/the-south/charleston/health,It's fine to drink Charleston's tap water.          
Bilbao,https://www.lonelyplanet.com/spain/aragon-basque-country-and-navarra/bilbao/health,<ul class="need-to-know__list"><li><strong>Tap water</strong> The water in Bilbao is of excellent quality and safe to drink.</li></ul>          
Savannah,https://www.lonelyplanet.com/usa/the-south/savannah/health,While it's perfectly safe to drink%2C unfiltered tap water in Savannah doesn't have the most pleasant taste.
Bristol,https://www.lonelyplanet.com/england/southwest-england/bristol/health,Bristol's tap water is safe to drink.
Asunción,https://www.lonelyplanet.com/paraguay/asuncion/health,Paraguay is a country blessed with freshwater. You can drink the water in Asunción%2C though if you are sensitive to minor dietary changes you may prefer to avoid it. Bottled water is cheap.
Bocas del Toro Town,https://www.lonelyplanet.com/panama/bocas-del-toro/health,Unlike most other places in Panama%2C the archipelago has tap water that's not safe to drink unless it is filtered. Bocas town has a water-treatment plant%2C but locals say the tap water is not to be trusted. It's certainly fine for brushing your teeth%2C but for drinking purchase bottled water or purify your own.          
Bath,https://www.lonelyplanet.com/england/southwest-england/bath/health,Bath's tap water is safe to drink (in fact for centuries the city built an entire economy on people doing just that).
