Country,Link,Content
Japan,https://www.lonelyplanet.com/japan/health,Tap water is fine to drink in Japan; in some rural areas%2C locals swear by its health benefits.
Thailand,https://www.lonelyplanet.com/thailand/health,Although it's deemed potable by the authorities%2C the Thais don't drink the tap water%2C and neither should you. Stick to bottled or filtered water during your stay.
Germany,https://www.lonelyplanet.com/germany/health,Tap water is drinkable.          
New Zealand,https://www.lonelyplanet.com/new-zealand/health,Tap water throughout New Zealand is generally safe to drink%2C and public taps with nondrinkable water tend to be labelled as such. However%2C water quality has faced pollution challenges in some places. Very occasionally%2C a warning may be issued that tap water must be boiled – your accommodation should inform you if this happens.
Indonesia,https://www.lonelyplanet.com/indonesia/health,<ul class="need-to-know__list"><li><strong>Water</strong> Tap water is never safe to drink.</li></ul>          
Brazil,https://www.lonelyplanet.com/brazil/health,Tap water in Brazilian cities such as Rio and São Paulo is generally safe to drink%2C but it tastes awful. In remote areas%2C tap water may be suspect. Many hotels and guesthouses filter their water – be sure to inquire about the status where you’re staying. Vigorous boiling for one minute is the most effective means of water purification%2C though you can also use a water filter%2C ultraviolet light (such as a steripen) or iodine pills.
Turkey,https://www.lonelyplanet.com/turkey/health,It's not wise to drink tap water if you're only in Turkey on a short visit. Stick to bottled water%2C boil tap water for 10 minutes or use purification tablets or a filter.Do not drink river or lake water%2C which may lead to diarrhoea or vomiting.
Russia,https://www.lonelyplanet.com/russia/health,While brushing your teeth with tap water is OK%2C assume that it isn’t safe to drink. Stick to bottled water%2C boil water for 10 minutes%2C or use water purification tablets or a filter.
Portugal,https://www.lonelyplanet.com/portugal/health,Tap water is safe to drink in Portugal.
South Africa,https://www.lonelyplanet.com/south-africa/health,High-quality water is widely available in South Africa and drinking from taps is fine%2C except in rural and drought-struck areas.
Ireland,https://www.lonelyplanet.com/ireland/health,The Irish have traditionally always drunk tap water%2C but in recent years have introduced filter systems to combat the presence of potentially toxic chemicals called trihalomethanes (THMs) in the water supply%2C which have exceeded EU-sanctioned levels in various parts of the country%2C including Kerry%2C Cork%2C Kilkenny City%2C Waterford%2C Wicklow%2C Meath%2C Mayo%2C Roscommon%2C Donegal and Galway.Although the potential issues are only associated with long-term exposures to THMs%2C you should make sure to drink only filtered or bottled water while in Ireland%2C and never drink from the bathroom tap.
Argentina,https://www.lonelyplanet.com/argentina/health,Argentina is a modern country with good health and dental services. Sanitation and hygiene at restaurants is relatively high%2C and tap water is generally safe to drink throughout the country. If you want to make sure%2C ask ‘¿Se puede tomar el agua de la canilla?’ (Is the tap water drinkable?).
Scotland,https://www.lonelyplanet.com/scotland/health,Scotland's tap water is safe to drink.
Malaysia,https://www.lonelyplanet.com/malaysia/health,<ul class="need-to-know__list"><li>Never drink tap water unless you've verified that it's safe.</li><li>Boiling water is the most efficient method of purifying it.</li><li>Check bottled-water seals are intact at purchase.</li><li>Avoid ice in places that look dubious.</li><li>Avoid fresh juices if they have not been freshly squeezed or you suspect they may have been watered down.</li><li>Iodine%2C the best chemical purifier%2C should not be used by pregnant women or those who suffer thyroid problems.</li></ul>
Philippines,https://www.lonelyplanet.com/philippines/health,Drinking tap water should be avoided in the Philippines. It is rarely purified and may lead to stomach illness.That said%2C it's generally OK to have a few ice cubes in your drink or brush your teeth with tap water. One notable exception is El Nido%2C which occasionally experiences more acute water-quality problems.Bottled water isn't cheap – up to P50 a litre – so carry your own bottle around and refill it at the many water-refilling stations.          
Chile,https://www.lonelyplanet.com/chile/health,The tap water in Chile's cities is generally safe but has a high mineral content that can cause stomach upsets; bottled water is a good idea for delicate stomachs and in the north. Vigorous boiling for one minute is the most effective means of water purification. At altitudes greater than 2000m%2C boil for three minutes. You can also disinfect water with iodine pills%2C a water filter or Steripen.
Poland,https://www.lonelyplanet.com/poland/health,Tap water is generally safe to drink%2C though bottled water is cheap and readily available.          
Cuba,https://www.lonelyplanet.com/cuba/health,Tap water in Cuba is not reliably safe to drink and outbreaks of cholera have been recorded in the past few years. Bottled water called Ciego Montero rarely costs more than CUC$1%2C but is sometimes not available in small towns. Stock up in the cities when going on long bus or car journeys.           
Austria,https://www.lonelyplanet.com/austria/health,Tap water in Austria is perfectly safe to drink – and it's actually of a very high standard in many mountainous parts of the country. Don't expect it to be free in restaurants%2C however; bottled water (either still or sparkling) is the norm.
Costa Rica,https://www.lonelyplanet.com/costa-rica/health,<ul class="need-to-know__list"><li>It’s generally safe to drink tap water in Costa Rica%2C except in the most rural and undeveloped parts of the country. However%2C if you prefer to be cautious%2C buying bottled water is your best bet.</li><li>If you have the means%2C vigorous boiling for one minute is the most effective means of water purification. At altitudes greater than 2000m%2C boil for three minutes.</li><li>Another option is to disinfect water with iodine pills: add 2% tincture of iodine to 1L of water (five drops to clear water%2C 10 drops to cloudy water) and let stand for 30 minutes. If the water is cold%2C longer times may be required.</li><li>Alternatively%2C carry a SteriPen that destroys most bacteria%2C viruses and protozoa with UV light.</li></ul>
The Netherlands,https://www.lonelyplanet.com/the-netherlands/health,Tap water country-wide is drinkable.          
Norway,https://www.lonelyplanet.com/norway/health,Tap water is always safe to drink in Norway so fill up a reusable bottle to stay hydrated and help avoid plastic pollution.<h4 class="copy--h4">Water In The Great Outdoors</h4><div class="copy--body">Out in the wilds%2C it's wise to beware of drinking from streams%2C as even the clearest and most inviting water may harbour giardia and other parasites. For extended hikes where you must rely on natural water sources%2C the simplest way of purifying water is to boil it thoroughly; at high altitude water boils at a lower temperature%2C so germs are less likely to be killed. Boil it for longer in these environments (up to 10 minutes).If you cannot boil water it should be treated chemically. Chlorine tablets (Puritabs%2C Steritabs or other brands) will kill many pathogens%2C but not giardia and amoebic cysts. Iodine is more effective in purifying water and is available in tablet form (such as Potable Aqua). Too much iodine can be harmful.
Switzerland,https://www.lonelyplanet.com/switzerland/health,Tap water in Switzerland is pure%2C rich in minerals and perfectly safe to drink – in fact it's often just as good as any of the stuff you can buy in bottles. Don't necessarily expect it free in restaurants%2C however; bottled water (either still or sparkling) is the norm.
Vietnam,https://www.lonelyplanet.com/vietnam/health,Be very careful of what you drink. Tap water is heavily chlorinated in urban areas%2C but you should still avoid it. Stick to bottled water%2C which is available everywhere. Ice is generally safe in the cities and resorts%2C and is often added to drinks and coffee.          
South Korea,https://www.lonelyplanet.com/south-korea/health,South Korea has some of the cleanest tap water in the world%2C though most locals and visitors drink filtered or purified water from bottles or dispensers. The practice comes from a belief that bottled water is healthier%2C and the fear that old pipes can contain heavy metals. Filtered or bottled water is served free in most restaurants and machines with free purified hot and cold water are available in most motels%2C guesthouses and shopping plaza entrances.
Morocco,https://www.lonelyplanet.com/morocco/health,Tap water is chlorinated in Morocco’s cities and generally safe to drink – certainly safe to clean your teeth with. Elsewhere%2C stick to treated water – filter or purify it.Bottled water is available everywhere%2C although there is an environmental cost through the mountains of discarded (and unrecycled) plastic bottles.Off the beaten track%2C water drawn from wells or pumped from boreholes should be safe%2C but never drink water from rivers or lakes%2C as this may contain bacteria or viruses that can cause diarrhoea or vomiting.
Croatia,https://www.lonelyplanet.com/croatia/health,Tap water in Croatia is safe to drink.
Iceland,https://www.lonelyplanet.com/iceland/health,Iceland has some of the cleanest water in the world and tap water is completely safe to drink. Locals find it amusing to see travellers buying bottled water when the same quality of water is available from the tap.Geothermal hot water smells of sulphur%2C but the cold water doesn't smell.
Sweden,https://www.lonelyplanet.com/sweden/health,Tap water in Sweden is perfectly safe to drink%2C and may even be cleaner than bottled water.          
Colombia,https://www.lonelyplanet.com/colombia/health,<ul class="need-to-know__list"><li>Colombia has excellent water resources and tap water in bigger cities and mountainous areas is usually safe to drink.</li><li>In less developed lowland regions including the Amazon Basin%2C Chocó and parts of the Caribbean coast it's best to purchase water or treat tap water before use.</li></ul>          
Myanmar (Burma),https://www.lonelyplanet.com/myanmar-burma/health,<ul class="need-to-know__list"><li>Never drink tap water.</li><li>Check bottled water seals are intact at purchase.</li><li>Avoid ice.</li><li>Avoid fresh juices – they may have been watered down.</li><li>Boiling water is the most efficient method of purifying.</li><li>Iodine%2C the best chemical purifier%2C should not be used by pregnant women or those who suffer with thyroid problems.</li><li>Ensure your water filter has a chemical barrier%2C such as iodine%2C and a pore size of less than four microns.</li></ul>
Belgium,https://www.lonelyplanet.com/belgium/health,Tap water is almost always fine to drink%2C though restaurants will sometimes deny this as an excuse for insisting on serving mineral water.
Finland,https://www.lonelyplanet.com/finland/health,Finland's tap water is among the highest quality in the world and is not only completely safe but a pleasure to drink.
Denmark,https://www.lonelyplanet.com/denmark/health,Tap water is safe to drink.
Tanzania,https://www.lonelyplanet.com/tanzania/health,Unless your intestines are well accustomed to Tanzania%2C don’t drink tap water that hasn’t been boiled%2C filtered or chemically disinfected (eg with iodine tablets) and be wary of ice and fruit juices diluted with unpurified water. Avoid drinking from streams%2C rivers and lakes unless you’ve purified the water first. The same goes for drinking from pumps and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available%2C except in very remote areas%2C where you should carry a filter or purification tablets.
Cambodia,https://www.lonelyplanet.com/cambodia/health,The number-one rule is be careful of water and ice%2C although both are usually factory produced%2C a legacy of the French. If you don’t know for certain that the water is safe%2C assume the worst. Reputable brands of bottled water or soft drinks are usually fine%2C but you can’t safely drink tap water. Only use water from containers with a serrated seal. Tea and coffee are generally fine%2C as they’re made with boiled water.
Taiwan,https://www.lonelyplanet.com/taiwan/health,<ul class="need-to-know__list"><li>Drinkable in Taipei without treatment but still best to boil or filter.</li><li>Filtered hot and cold water from dispensers is available in every hotel%2C guesthouse and visitor information centre so it's handy to bring your own bottle.</li><li>Ice is usually fine at restaurants. Shaved ice (with fruit) is usually fine but take a look at the conditions in the shop.</li></ul>          
Egypt,https://www.lonelyplanet.com/egypt/health,In Cairo tap water is heavily chlorinated and relatively drinkable%2C but elsewhere it is generally unsafe to drink. Bottled water is cheap and readily available in even the smallest towns%2C but consider using iodine or a Steripen to reduce the use of plastic bottles%2C especially if you're on a longer trip.          
Romania,https://www.lonelyplanet.com/romania/health,Tap water is generally considered safe to drink in Romania%2C though nearly everyone drinks bottled water: it's cheap and available everywhere.          
Sri Lanka,https://www.lonelyplanet.com/sri-lanka/health,Tap water is not safe to drink. Use bottled or filtered water; for the former%2C look for the small round ‘SLSI’ logo%2C which shows the water has been tested by the government’s Sri Lanka Standards Institution (the majority of local brands).
Bolivia,https://www.lonelyplanet.com/bolivia/health,Tap water is not safe to drink. Bottled mineral water is cheap and freely available. Use it for everything and if you are going anywhere remote take a good supply with you.Should you find yourself desperate%2C thirsty and with nowhere to buy water%2C then try the following.<strong>Boiling</strong> Vigorous boiling for one minute is the most effective means of water purification. At altitudes greater than 2000m (6500ft)%2C boil for three minutes.<strong>Purification pills</strong> Disinfect water with purification tablets%2C available at most pharmacies.<strong>Filters</strong> Filters with smaller pores (reverse osmosis filters) provide the broadest protection%2C but they are relatively large and are readily plugged by debris. Those with larger pores (microstrainer filters) are ineffective against viruses%2C although they remove other organisms. Manufacturers’ instructions must be carefully followed.
Wales,https://www.lonelyplanet.com/wales/health,Tap water in Wales is safe to drink.
Kenya,https://www.lonelyplanet.com/kenya/health,Never drink tap water unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Never drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps and wells – some do bring pure water to the surface%2C but the presence of animals can still contaminate supplies.          
Hungary,https://www.lonelyplanet.com/hungary/health,Tap water in Hungary is safe to drink.
Nepal,https://www.lonelyplanet.com/nepal/health,Don’t drink the water in Nepal. Ice should be avoided except in upmarket tourist-oriented restaurants. While trekking%2C purify your own water rather than buying purified water in polluting plastic bottles.<h4 class="copy--h4">Water Purification</h4><div class="copy--body">The easiest way to purify water is to boil it thoroughly. Chlorine tablets (eg Puritabs or Steritabs) kill many pathogens but are not effective against giardia and amoebic cysts. Follow the directions carefully – filter water through a cloth before adding the chemicals and be sure to wet the thread on the lid to your water bottle. Once the water is purified%2C vitamin C or neutralising tablets can be added to remove the chemical taste.Chlorine is more effective against giardia and amoebic cysts when combined with phosphoric acid (eg Aquamira). Iodine can be used as effectively as chlorine%2C but is now discouraged by medics in the UK.Trekking filters take out all parasites%2C bacteria and viruses%2C and make water safe to drink. However%2C it is very important to read the specifications so that you know exactly what the filter removes from the water.Another option is a UV light–based treatment such as a Steripen%2C but water has to be clear for this to work.
Nicaragua,https://www.lonelyplanet.com/nicaragua/health,Tap water is potable in cities and larger towns but should be avoided in rural areas and throughout the Región Autónoma Atlántico Sur (South Atlantic Autonomous Region; RAAS) and Región Autónoma Atlántico Norte (North Atlantic Autonomous Region; RAAN). In cheaper restaurants%2C ice and juices are usually made with untreated water.
Slovenia,https://www.lonelyplanet.com/slovenia/health,Tap water is safe everywhere in Slovenia. If you are hiking or camping in the mountains and are unsure about the water%2C the simplest way to purify water is to boil it for 10 minutes.
Guatemala,https://www.lonelyplanet.com/guatemala/health,While many Guatemalans drink the tap water (often through necessity rather than choice)%2C it is not recommended that foreigners do so.<ul class="need-to-know__list"><li>Tap water needs to be boiled thoroughly or disinfected.</li><li>Purified water is cheap and readily available in tourist areas and many back-country regions as well.</li><li>Ice in more expensive restaurants is made from purified water%2C but order drinks without it if you want to be really cautious.</li></ul>
Czech Republic,https://www.lonelyplanet.com/czech-republic/health,Tap water in Prague and other large cities is safe to drink. Opt for bottled water in rural areas.
United Arab Emirates,https://www.lonelyplanet.com/united-arab-emirates/health,The UAE's tap water is perfectly safe to drink. It is desalinated water so it does have a slight taste.          
Venezuela,https://www.lonelyplanet.com/venezuela/health,Tap water is generally fine for brushing your teeth%2C but is not recommended for consumption%2C particularly outside urban areas and in the current crisis. Water shortages across the country mean you should be conservative in your usage%2C to say the least.          
Panama,https://www.lonelyplanet.com/panama/health,Tap water in Panama City is safe to drink%2C as is the water in most other parts of the country. However%2C you’re better off buying bottled water or purifying your own water in the provinces of Bocas del Toro and Guna Yala.If you have the means%2C vigorous boiling for one minute is the most effective method of water purification. Another option is to disinfect water with iodine pills%2C or add 2% tincture of iodine to one quart or liter of water (five drops to clear water%2C 10 drops to cloudy water) and let stand for 30 minutes. If the water is cold%2C longer periods may be required.          
Bulgaria,https://www.lonelyplanet.com/bulgaria/health,Bulgarian tap water is generally safe and drinkable but may have an odd taste. Bottled mineral water is widely available and cheap.
Mongolia,https://www.lonelyplanet.com/mongolia/health,<ul class="need-to-know__list"><li>Bottled water is generally safe – check that the seal is intact at purchase.</li><li>Tap water in Ulaanbaatar and other cities is considered bacteria-free%2C however antiquated plumbing means the water may contain traces of metals that won’t be good for your long-term health.</li><li>Be cautious about drinking from streams and lakes%2C as they are easily polluted by livestock. Water is usually OK if you can get it high up in the mountains%2C near the source. If in doubt%2C boil your water.</li><li>The best chemical purifier is iodine%2C although it should not be used by pregnant women or those with thyroid problems.</li><li>Water filters should filter out viruses. Ensure your filter has a chemical barrier such as iodine and a small pore size (less than four microns).</li></ul>
Ukraine,https://www.lonelyplanet.com/ukraine/health,Drinking tap water is not recommended anywhere in Ukraine. Bottled water is cheap and comes both still and fizzy.
Dominican Republic,https://www.lonelyplanet.com/dominican-republic/health,Only purified water should be used for drinking%2C brushing your teeth as well as hand washing.          
Belize,https://www.lonelyplanet.com/belize/health,In major urban areas tap water in Belize is considered safe to drink. Outside larger cities and towns%2C hotels may use wells or rainwater collection tanks in which case water should be boiled or treated.Many hotels will provide drinking water for guests.          
Jamaica,https://www.lonelyplanet.com/jamaica/health,Water is generally safe to drink from faucets throughout the island except in the most far-flung rural regions. It is safest%2C however%2C to stick with bottled water%2C which is widely available. It’s a good idea to avoid ice%2C particularly that sold at street stands as ‘bellywash%2C’ ‘snocones’ or ‘skyjuice’ – shaved-ice cones sweetened with fruit juice. Unless you’re certain that the local water is not contaminated%2C you shouldn’t drink it. In Jamaica’s backwaters%2C clean your teeth with purified water rather than tap water.
Puerto Rico,https://www.lonelyplanet.com/puerto-rico/health,Tap water does not taste great but is safe to drink.
Cyprus,https://www.lonelyplanet.com/cyprus/health,Tap water is perfectly safe to drink in the South%2C although most locals drink bottled water%2C as it is very hard. However%2C the glass of water you automatically receive with your Cypriot coffee will undoubtedly be tap water. It is advisable to drink bottled water in the North.
Singapore,https://www.lonelyplanet.com/singapore/health,The tap water in Singapore is safe to drink.
Tunisia,https://www.lonelyplanet.com/tunisia/health,Tap water is safe to drink throughout Tunisia.          
Montenegro,https://www.lonelyplanet.com/montenegro/health,As a general rule%2C tap water is drinkable in Montenegro but there can be problems. For instance%2C it's advisable not to drink the water in Herceg Novi in May as they close off and clean the pipes from the main reservoir (in Croatia) and revert to a local reservoir. Bottled water is cheap and readily available.          
Northern Ireland,https://www.lonelyplanet.com/ireland/northern-ireland/health,<ul class="need-to-know__list"><li>The tap water in Northern Ireland is safe to drink.</li></ul>
Estonia,https://www.lonelyplanet.com/estonia/health,Tap water throughout Estonia is drinkable.
Jordan,https://www.lonelyplanet.com/jordan/health,Tap water in Jordan is generally safe to drink%2C but for a short trip it's better to stick to bottled water. This is readily available but check the seal has not been broken. Alternatively%2C you can boil tap water for 10 minutes%2C use water purification tablets or a filter.The tap water in southern Jordan%2C particularly Wadi Rum%2C comes from natural springs at Diseh and so is extremely pure. Avoid drinking water from wadis in the wild as pools may have been used as waterholes for livestock. In the Jordan Valley%2C amoebic dysentery can be a problem.If you get stuck in the desert without water%2C remember that you are more likely to be seriously ill (and even die) from dehydration than you are from an upset stomach%2C however unpleasant it may be. In summary%2C if water is offered and you need it%2C worry about its provenance later!
Lithuania,https://www.lonelyplanet.com/lithuania/health,In most parts of the country%2C tap water originates from underground sources that are repeatedly tested for their quality%2C so it's very safe to drink. Major cities like Vilnius and Kaunas have perfectly potable water. However%2C water may have an unpleasant chlorinated taste closer to the coast. If you know you have a sensitive stomach%2C bring a portable water purifier.
Mozambique,https://www.lonelyplanet.com/mozambique/health,Don’t drink tap water unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Don’t drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available%2C except in very remote areas%2C where you should carry a filter or purification tablets.          
Malta,https://www.lonelyplanet.com/malta/health,Tap water is fine to drink in Malta.
Bhutan,https://www.lonelyplanet.com/bhutan/health,<ul class="need-to-know__list"><li>Never drink tap water</li><li>Bottled water is generally safe – check the seal is intact at purchase</li><li>Avoid ice</li><li>Avoid fresh juices – they may have been watered down</li><li>Boil water – this is the most efficient method of purifying it; let it boil a bit longer at higher altitudes</li><li>Purify water – the best chemical purifier is iodine but this should not be used by pregnant women or those with thyroid problems</li><li>Use water filters – should also filter out viruses; ensure your filter has a chemical barrier such as iodine and a small pore size%2C eg less than four microns</li></ul>          
Namibia,https://www.lonelyplanet.com/namibia/health,Stick to bottled water while travelling in Namibia%2C and purify any river water before drinking it.
Kyrgyzstan,https://www.lonelyplanet.com/kyrgyzstan/health,Tap water is safe to drink across Kyrgyzstan%2C though for taste many travellers prefer bottled water in smaller towns and villages.
Oman,https://www.lonelyplanet.com/oman/health,Tap water is safe to drink in main towns throughout Oman. Filling up containers with water from the hotel is an option but don't underestimate the amount of water required for long journeys in summer. Don't drink from mountain irrigation channels as these are often contaminated by grazing animals.          
Mauritius,https://www.lonelyplanet.com/mauritius/health,As a general rule the tap water in Mauritius is safe to drink%2C but always take care immediately after a cyclone or cyclonic storm as mains water supplies can become contaminated by dead animals and other debris washed into the system. Never drink from streams as this might put you at risk of waterborne diseases.It's not safe to drink the tap water in Rodrigues; stick with bottled water if you visit the island.
Uganda,https://www.lonelyplanet.com/uganda/health,Avoid drinking tap water in Uganda. Water that is bottled%2C boiled or filtered should be fine.
Kazakhstan,https://www.lonelyplanet.com/kazakhstan/health,In general%2C tap water is not safe to drink in Kazakhstan. Some locals do%2C or have filters attached to their taps%2C but it's best to err on the side of caution and either boil the water or buy bottled water.
Uzbekistan,https://www.lonelyplanet.com/uzbekistan/health,Tap water in Uzbekistan isn't safe to drink%2C especially in Karakalpakstan. Bottled water is available cheaply everywhere. Long-term visitors should bring a filter.
Botswana,https://www.lonelyplanet.com/botswana/health,Stick to bottled water%2C and purify any river water before drinking it.          
Honduras,https://www.lonelyplanet.com/honduras/health,It's not advisable to drink tap water in Honduras. Many hotels and hostels offer filtered water to fill your own bottle%2C or bottled water is sold everywhere.
Serbia,https://www.lonelyplanet.com/serbia/health,Serbia's tap water is safe for drinking%2C as is the fresh spring water often found at monasteries. Bottled water is sold everywhere.          
Latvia,https://www.lonelyplanet.com/latvia/health,While teeth brushing is fine%2C it is recommended to avoid water straight from the tap in Latvia; boil or filter before drinking%2C or purchase it bottled.
Malawi,https://www.lonelyplanet.com/malawi/health,Don’t drink tap water unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Don’t drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps%2C boreholes and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available%2C except in very remote areas%2C where you should carry a filter or purification tablets.          
Slovakia,https://www.lonelyplanet.com/slovakia/health,There's absolutely no need to buy bottled water in Slovakia%2C the tap water is safe to drink – good news for wallets and for the environment. Other than instances where a crossed-out warning symbol is posted above a tap (for example%2C in some public toilets) you can expect water issuing from taps to be potable. Travellers prone to upset stomachs may choose to bring a portable water filter for peace of mind when drinking tap water.Note that mineral-rich waters are highly prized in Slovakia%2C and in spa towns you are likely to see locals queuing to fill containers with water piped from underground sources. Because of the mineral content%2C this water can be warm%2C fizzy or with a strong metallic taste. Travellers unused to it may find that these mineral waters cause nausea. Limit yourself to a few sips if you have a delicate stomach.          
Seychelles,https://www.lonelyplanet.com/seychelles/health,As a general rule%2C tap water in the Seychelles is safe to drink%2C but always take care immediately after a cyclone or cyclonic storm as mains water supplies can become contaminated by dead animals and other debris washed into the system. Never drink from streams as this might put you at risk of waterborne diseases.
Trinidad & Tobago,https://www.lonelyplanet.com/trinidad-and-tobago/health,Tap water is heavily chlorinated in Trinidad and Tobago%2C and tastes better boiled than fresh from the tap. It can still cause upsets for those unused to it%2C though%2C so it’s best to stick to bottled water.          
Zambia,https://www.lonelyplanet.com/zambia/health,Don’t drink tap water unless it has been boiled%2C filtered or chemically disinfected (such as with iodine tablets). Don’t drink from streams%2C rivers and lakes. It’s also best to avoid drinking from pumps and wells; some bring pure water to the surface%2C but the presence of animals can contaminate supplies. Bottled water is widely available%2C except in very remote areas%2C where you should carry a filter or purification tablets.
Uruguay,https://www.lonelyplanet.com/uruguay/health,Tap water is generally safe to drink in Uruguay.          
El Salvador,https://www.lonelyplanet.com/el-salvador/health,Tap water is generally very good in El Salvador; however%2C in poorer areas it is best to always boil before drinking.
The Bahamas,https://www.lonelyplanet.com/the-bahamas/health,The tap water is fine to drink%2C but can be unpleasant in places (where the locals often resort to wasteful bottled water).
Maldives,https://www.lonelyplanet.com/maldives/health,Tap water in Maldives is all treated rainwater and it’s not advisable to drink it%2C not least as it has generally got an unpleasant taste. Nearly all resorts supply purified drinking water to their guests for free – some cheaper resorts make you pay for it%2C though. Either way%2C it’s a far better option.
Saudi Arabia,https://www.lonelyplanet.com/saudi-arabia/health,Tap water is not safe to drink in Saudi Arabia. Consider buying a reusable bottle with a filter before you arrive.          
Tajikistan,https://www.lonelyplanet.com/tajikistan/health,It is not safe to drink tap water in Tajikistan%2C due to Giardia lamblia which causes diarrhoea and other intestinal infection. Bottled water is widely available.
Bosnia & Hercegovina,https://www.lonelyplanet.com/bosnia-and-hercegovina/health,Tap water is generally drinkable throughout the country.
Lebanon,https://www.lonelyplanet.com/lebanon/health,Though it's officially proclaimed safe to drink%2C many Lebanese won't drink the tap water and stick to bottles.
Ghana,https://www.lonelyplanet.com/ghana/health,Stick to drinking bottled water in Ghana and try to avoid the sachets of water sold on the street – these are often contaminated.
Senegal,https://www.lonelyplanet.com/senegal/health,Never drink tap water in Senegal unless it has been boiled%2C filtered or chemically disinfected (with iodine tablets for instance).
US Virgin Islands,https://www.lonelyplanet.com/us-virgin-islands/health,Tap water is safe to drink%2C unless specified otherwise.
Belarus,https://www.lonelyplanet.com/belarus/health,The tap water in Belarus is generally fine to drink%2C but it's always safer to drink bottled water. Do your part for the environment by bringing your own bottle and filling it up at hotels%2C restaurants or wherever you can.
Cabo Verde,https://www.lonelyplanet.com/cape-verde/health,Tap water is best avoided in Cabo Verde as it can be contaminated. Bottled water is widely available%2C but to avoid the waste of plastic bottles%2C consider using available water sources%2C which are then filtered or chemically treated (ie with iodine tablets).
